,type_of_meal_plan,cancel_rate_pct,n
1,Meal Plan 2,45.56732223903177,3305
3,Not Selected,33.11890838206627,5130
0,Meal Plan 1,31.18016885216454,27835
2,Meal Plan 3,20.0,5
