,lt_bin,cancel_rate_pct
0,0–14,12.076749435665914
1,15–30,20.839542970690513
2,31–60,23.465990169652766
3,61–90,27.795031055900623
4,91–180,44.90478641276377
5,181–365,72.86452125546286
6,365+,95.06172839506173
