,room_type_reserved,cancel_rate_pct,n
5,Room_Type 6,42.028985507246375,966
3,Room_Type 4,34.15882450057784,6057
1,Room_Type 2,32.947976878612714,692
0,Room_Type 1,32.250266619267684,28130
2,Room_Type 3,28.57142857142857,7
4,Room_Type 5,27.169811320754718,265
6,Room_Type 7,22.78481012658228,158
