,market_segment_type,cancel_rate_pct,n
4,Online,36.50814163866632,23214
3,Offline,29.94870820668693,10528
0,Aviation,29.599999999999998,125
2,Corporate,10.907288051561725,2017
1,Complementary,0.0,391
