,feature,|r|
0,lead_time,0.4182134356227625
1,no_of_special_requests,0.2562897001296749
2,avg_price_per_room,0.16083130699503848
3,repeated_guest,0.10728663623049946
4,no_of_previous_bookings_not_canceled,0.10285631493081246
5,total_guests,0.09305762001181464
6,no_of_adults,0.09077256358699619
7,total_nights,0.08967405981052964
8,required_car_parking_space,0.08618527694671368
9,no_of_previous_cancellations,0.05791712758544497
10,no_of_children,0.027627986396003164
